date,Yen_per_Dollar
1986-03-01,178.69380952381
1986-04-01,175.091818181818
1986-05-01,167.031428571429
1986-06-01,167.541904761905
1986-07-01,158.605909090909
1986-08-01,154.177142857143
1986-09-01,154.731428571429
1986-10-01,156.472272727273
1986-11-01,162.849444444444
1986-12-01,162.052272727273
1987-01-01,154.8295
1987-02-01,153.406842105263
1987-03-01,151.433181818182
1987-04-01,142.898636363636
1987-05-01,140.479
1987-06-01,144.549545454545
1987-07-01,150.293913043478
1987-08-01,147.334285714286
1987-09-01,143.290952380952
1987-10-01,143.32
1987-11-01,135.397368421053
1987-12-01,128.241818181818
1988-01-01,127.685263157895
1988-02-01,129.1665
1988-03-01,127.113913043478
1988-04-01,124.897619047619
1988-05-01,124.787142857143
1988-06-01,127.465454545455
1988-07-01,133.0215
1988-08-01,133.766086956522
1988-09-01,134.317619047619
1988-10-01,128.6805
1988-11-01,123.202
1988-12-01,123.607619047619
1989-01-01,127.3625
1989-02-01,127.737368421053
1989-03-01,130.550434782609
1989-04-01,132.0365
1989-05-01,137.863636363636
1989-06-01,143.980909090909
1989-07-01,140.424
1989-08-01,141.485217391304
1989-09-01,145.07
1989-10-01,142.206666666667
1989-11-01,143.534285714286
1989-12-01,143.685
1990-01-01,144.981904761905
1990-02-01,145.693157894737
1990-03-01,153.308181818182
1990-04-01,158.458571428571
1990-05-01,154.044090909091
1990-06-01,153.695714285714
1990-07-01,149.039523809524
1990-08-01,147.460869565217
1990-09-01,138.440526315789
1990-10-01,129.590909090909
1990-11-01,129.2155
1990-12-01,133.889
1991-01-01,133.698571428571
1991-02-01,130.535789473684
1991-03-01,137.386666666667
1991-04-01,137.112727272727
1991-05-01,138.221818181818
1991-06-01,139.7475
1991-07-01,137.83
1991-08-01,136.816363636364
1991-09-01,134.2995
1991-10-01,130.772272727273
1991-11-01,129.632105263158
1991-12-01,128.039523809524
1992-01-01,125.461428571429
1992-02-01,127.698947368421
1992-03-01,132.862727272727
1992-04-01,133.539545454545
1992-05-01,130.771
1992-06-01,126.835454545455
1992-07-01,125.881739130435
1992-08-01,126.230952380952
1992-09-01,122.596666666667
1992-10-01,121.165238095238
1992-11-01,123.88
1992-12-01,124.040909090909
1993-01-01,124.993157894737
1993-02-01,120.759473684211
1993-03-01,117.017391304348
1993-04-01,112.411363636364
1993-05-01,110.343
1993-06-01,107.411818181818
1993-07-01,107.691428571429
1993-08-01,103.765
1993-09-01,105.574761904762
1993-10-01,107.02
1993-11-01,107.8765
1993-12-01,109.913043478261
1994-01-01,111.4415
1994-02-01,106.301052631579
1994-03-01,105.097391304348
1994-04-01,103.484285714286
1994-05-01,103.753333333333
1994-06-01,102.526363636364
1994-07-01,98.445
1994-08-01,99.9404347826087
1994-09-01,98.7742857142857
1994-10-01,98.353
1994-11-01,98.044
1994-12-01,100.182380952381
1995-01-01,99.766
1995-02-01,98.2368421052632
1995-03-01,90.5195652173913
1995-04-01,83.6895
1995-05-01,85.1127272727273
1995-06-01,84.6354545454546
1995-07-01,87.397
1995-08-01,94.7382608695652
1995-09-01,100.5455
1995-10-01,100.839047619048
1995-11-01,101.94
1995-12-01,101.8495
1996-01-01,105.751428571429
1996-02-01,105.788
1996-03-01,105.94
1996-04-01,107.199545454545
1996-05-01,106.342272727273
1996-06-01,108.96
1996-07-01,109.190909090909
1996-08-01,107.865909090909
1996-09-01,109.931
1996-10-01,112.412272727273
1996-11-01,112.295789473684
1996-12-01,113.980952380952
1997-01-01,117.912380952381
1997-02-01,122.962105263158
1997-03-01,122.77380952381
1997-04-01,125.637727272727
1997-05-01,119.192380952381
1997-06-01,114.285714285714
1997-07-01,115.375909090909
1997-08-01,117.929523809524
1997-09-01,120.89
1997-10-01,121.060454545455
1997-11-01,125.381666666667
1997-12-01,129.734090909091
1998-01-01,129.5475
1998-02-01,125.851578947368
1998-03-01,129.082272727273
1998-04-01,131.753636363636
1998-05-01,134.896
1998-06-01,140.330454545455
1998-07-01,140.787391304348
1998-08-01,144.68
1998-09-01,134.480476190476
1998-10-01,121.048571428571
1998-11-01,120.289473684211
1998-12-01,117.070909090909
1999-01-01,113.29
1999-02-01,116.668421052632
1999-03-01,119.473043478261
1999-04-01,119.772272727273
1999-05-01,121.9995
1999-06-01,120.724545454545
1999-07-01,119.330476190476
1999-08-01,113.226818181818
1999-09-01,106.875238095238
1999-10-01,105.965
1999-11-01,104.6485
1999-12-01,102.584347826087
2000-01-01,105.296
2000-02-01,109.3885
2000-03-01,106.307391304348
2000-04-01,105.627
2000-05-01,108.320454545455
2000-06-01,106.125454545455
2000-07-01,108.2115
2000-08-01,108.080434782609
2000-09-01,106.8375
2000-10-01,108.442857142857
2000-11-01,109.009523809524
2000-12-01,112.209
2001-01-01,116.671904761905
2001-02-01,116.233684210526
2001-03-01,121.505
2001-04-01,123.770952380952
2001-05-01,121.768181818182
2001-06-01,122.350952380952
2001-07-01,124.498095238095
2001-08-01,121.366956521739
2001-09-01,118.611666666667
2001-10-01,121.453636363636
2001-11-01,122.4055
2001-12-01,127.5945
2002-01-01,132.683333333333
2002-02-01,133.642631578947
2002-03-01,131.060952380952
2002-04-01,130.771818181818
2002-05-01,126.375
2002-06-01,123.2905
2002-07-01,117.899090909091
2002-08-01,118.992727272727
2002-09-01,121.078
2002-10-01,123.907727272727
2002-11-01,121.607894736842
2002-12-01,121.892857142857
2003-01-01,118.813333333333
2003-02-01,119.337894736842
2003-03-01,118.687142857143
2003-04-01,119.895
2003-05-01,117.368095238095
2003-06-01,118.329047619048
2003-07-01,118.695909090909
2003-08-01,118.662380952381
2003-09-01,114.8
2003-10-01,109.495454545455
2003-11-01,109.177777777778
2003-12-01,107.737727272727
2004-01-01,106.2685
2004-02-01,106.707894736842
2004-03-01,108.515652173913
2004-04-01,107.656363636364
2004-05-01,112.196
2004-06-01,109.433636363636
2004-07-01,109.487142857143
2004-08-01,110.233636363636
2004-09-01,110.091428571429
2004-10-01,108.7835
2004-11-01,104.699
2004-12-01,103.810434782609
2005-01-01,103.341
2005-02-01,104.944210526316
2005-03-01,105.254347826087
2005-04-01,107.19380952381
2005-05-01,106.595238095238
2005-06-01,108.747272727273
2005-07-01,111.9535
2005-08-01,110.60652173913
2005-09-01,111.239047619048
2005-10-01,114.8695
2005-11-01,118.454
2005-12-01,118.462380952381
2006-01-01,115.4765
2006-02-01,117.860526315789
2006-03-01,117.277826086957
2006-04-01,117.0695
2006-05-01,111.730454545455
2006-06-01,114.625
2006-07-01,115.767
2006-08-01,115.924347826087
2006-09-01,117.2145
2006-10-01,118.609047619048
2006-11-01,117.320476190476
2006-12-01,117.322
2007-01-01,120.447142857143
2007-02-01,120.504736842105
2007-03-01,117.26
2007-04-01,118.932380952381
2007-05-01,120.773181818182
2007-06-01,122.688571428571
2007-07-01,121.414761904762
2007-08-01,116.73347826087
2007-09-01,115.0435
2007-10-01,115.866086956522
2007-11-01,111.072857142857
2007-12-01,112.449
2008-01-01,107.818095238095
2008-02-01,107.03
2008-03-01,100.75619047619
2008-04-01,102.677727272727
2008-05-01,104.359523809524
2008-06-01,106.915238095238
2008-07-01,106.851818181818
2008-08-01,109.362380952381
2008-09-01,106.574761904762
2008-10-01,99.9659090909091
2008-11-01,96.9655555555556
2008-12-01,91.275
2009-01-01,90.1205
2009-02-01,92.9157894736842
2009-03-01,97.855
2009-04-01,98.92
2009-05-01,96.6445
2009-06-01,96.6145454545454
2009-07-01,94.3669565217391
2009-08-01,94.8971428571429
2009-09-01,91.2747619047619
2009-10-01,90.3671428571429
2009-11-01,89.2673684210526
2009-12-01,89.9509090909091
2010-01-01,91.1010526315789
2010-02-01,90.1394736842105
2010-03-01,90.7160869565217
2010-04-01,93.4527272727273
2010-05-01,91.973
2010-06-01,90.8059090909091
2010-07-01,87.5004761904762
2010-08-01,85.3727272727273
2010-09-01,84.3571428571429
2010-10-01,81.7285
2010-11-01,82.518
2010-12-01,83.337619047619
2011-01-01,82.625
2011-02-01,82.5368421052632
2011-03-01,81.6469565217391
2011-04-01,83.1771428571429
2011-05-01,81.1257142857143
2011-06-01,80.4259090909091
2011-07-01,79.2425
2011-08-01,76.965652173913
2011-09-01,76.7957142857143
2011-10-01,76.643
2011-11-01,77.5595
2011-12-01,77.7966666666667
2012-01-01,76.964
2012-02-01,78.47
2012-03-01,82.4659090909091
2012-04-01,81.2523809523809
2012-05-01,79.6668181818182
2012-06-01,79.3152380952381
2012-07-01,78.9347619047619
2012-08-01,78.6908695652174
2012-09-01,78.1352631578947
2012-10-01,79.0131818181818
2012-11-01,81.0305
2012-12-01,83.7905
2013-01-01,89.0580952380952
2013-02-01,93.0015789473684
2013-03-01,94.77
2013-04-01,97.7581818181818
2013-05-01,100.918636363636
2013-06-01,97.235
2013-07-01,99.6727272727273
2013-08-01,97.8122727272727
2013-09-01,99.21
2013-10-01,97.77
2013-11-01,100.073684210526
2013-12-01,103.46
2014-01-01,103.761428571429
2014-02-01,102.125263157895
2014-03-01,102.339523809524
2014-04-01,102.458181818182
2014-05-01,101.77380952381
2014-06-01,102.062857142857
2014-07-01,101.74
2014-08-01,102.94380952381
2014-09-01,107.425714285714
2014-10-01,108.026363636364
2014-11-01,116.299444444444
2014-12-01,119.323333333333
2015-01-01,118.25
2015-02-01,118.76
2015-03-01,120.394545454545
2015-04-01,119.509545454545
2015-05-01,120.798
2015-06-01,123.718636363636
2015-07-01,123.310909090909
2015-08-01,123.00380952381
2015-09-01,120.147619047619
2015-10-01,120.048095238095
2015-11-01,122.643157894737
2015-12-01,121.635
2016-01-01,118.225789473684
2016-02-01,114.6155
2016-03-01,112.931739130435
2016-04-01,109.551904761905
2016-05-01,108.848095238095
2016-06-01,105.350909090909
2016-07-01,104.191
2016-08-01,101.238260869565
2016-09-01,101.784285714286
2016-10-01,103.9075
2016-11-01,108.443
2016-12-01,115.998095238095
2017-01-01,114.872105263158
2017-02-01,112.911578947368
2017-03-01,112.91652173913
2017-04-01,110.091
2017-05-01,112.243636363636
2017-06-01,110.914090909091
2017-07-01,112.417
2017-08-01,109.826956521739
2017-09-01,110.776
2017-10-01,112.914761904762
2017-11-01,112.819
2017-12-01,112.9405
2018-01-01,110.870952380952
2018-02-01,107.97
2018-03-01,106.046818181818
2018-04-01,107.65619047619
2018-05-01,109.688181818182
2018-06-01,110.06380952381
2018-07-01,111.520952380952
2018-08-01,110.99652173913
2018-09-01,112.097368421053
2018-10-01,112.721818181818
2018-11-01,113.338
2018-12-01,112.199444444444
2019-01-01,108.9605
2019-02-01,110.44
2019-03-01,111.144285714286
2019-04-01,111.641363636364
2019-05-01,109.971363636364
2019-06-01,108.0685
2019-07-01,108.286363636364
2019-08-01,106.188636363636
2019-09-01,107.54
2019-10-01,108.136818181818
2019-11-01,108.857894736842
2019-12-01,109.100952380952
2020-01-01,109.266666666667
2020-02-01,110.029473684211
2020-03-01,107.667272727273
2020-04-01,107.738636363636
2020-05-01,107.2
2020-06-01,107.578181818182
2020-07-01,106.681818181818
2020-08-01,106.012857142857
2020-09-01,105.589047619048
2020-10-01,105.209523809524
2020-11-01,104.406111111111
2020-12-01,103.795238095238
2021-01-01,103.788333333333
2021-02-01,105.377368421053
2021-03-01,108.699130434783
2021-04-01,109.044545454545
2021-05-01,109.112
2021-06-01,110.107272727273
2021-07-01,110.214285714286
2021-08-01,109.852727272727
2021-09-01,110.160952380952
2021-10-01,113.1215
2021-11-01,113.965
2021-12-01,113.832857142857
2022-01-01,114.8255
2022-02-01,115.276315789474
2022-03-01,118.577391304348
2022-04-01,126.374285714286
2022-05-01,128.848571428571
2022-06-01,133.961904761905
2022-07-01,136.709
2022-08-01,135.28347826087
2022-09-01,143.284285714286
2022-10-01,147.0515
2022-11-01,142.445
2022-12-01,134.914761904762
2023-01-01,130.4475
2023-02-01,133.046315789474
2023-03-01,133.664347826087
2023-04-01,133.4745
2023-05-01,137.053181818182
2023-06-01,141.358095238095
2023-07-01,140.936
2023-08-01,144.780434782609
2023-09-01,147.845
2023-10-01,149.593333333333
2023-11-01,149.679
2023-12-01,143.9815
2024-01-01,146.294285714286
2024-02-01,149.615
2024-03-01,149.818571428571
2024-04-01,153.89
2024-05-01,155.869090909091
2024-06-01,157.86
2024-07-01,157.518181818182
2024-08-01,146.264090909091
2024-09-01,142.954
